	user_id	eps_id	intent	propfair
0	1	1	0.2949225902557373	0.6931471805599453
1	1	2	0.32415634393692017	0.8109302162163288
2	1	3	0.3660929799079895	0.8630462173553426
3	1	4	0.3843756914138794	0.8925742052568391
4	1	5	0.39354050159454346	0.9116077839697729
5	1	6	0.3931887149810791	0.9042847917608142
6	1	7	0.39203566312789917	0.8908005144368227
7	1	8	0.3896312713623047	0.8949463894018947
8	1	9	0.39036762714385986	0.9097948305452375
9	1	10	0.38899844884872437	0.9059692481522819
10	27	1	0.35917729139328003	0.6931471805599453
11	27	2	0.3794545531272888	0.8109302162163288
12	27	3	0.4069223999977112	0.8630462173553426
13	27	4	0.4160199761390686	0.8925742052568391
14	27	5	0.42501091957092285	0.9116077839697729
15	27	6	0.41714775562286377	0.9042847917608142
16	27	7	0.41990530490875244	0.8908005144368227
17	27	8	0.42555898427963257	0.8949463894018947
18	27	9	0.4261530637741089	0.9097948305452375
19	27	10	0.42932265996932983	0.9059692481522819
20	29	1	0.5190417766571045	0.6931471805599453
21	29	2	0.49300169944763184	0.8109302162163288
22	29	3	0.48543697595596313	0.8630462173553426
23	29	4	0.4732961654663086	0.8925742052568391
24	29	5	0.4657272696495056	0.9116077839697729
25	29	6	0.45844733715057373	0.9042847917608142
26	29	7	0.4582711458206177	0.8908005144368227
27	29	8	0.45576179027557373	0.8949463894018947
28	29	9	0.45384353399276733	0.9097948305452375
29	29	10	0.4501544237136841	0.9059692481522819
30	48	1	0.37163829803466797	0.6931471805599453
31	48	2	0.40726178884506226	0.8109302162163288
32	48	3	0.4259238839149475	0.8630462173553426
33	48	4	0.43553799390792847	0.8925742052568391
34	48	5	0.43440526723861694	0.9116077839697729
35	48	6	0.42602455615997314	0.9042847917608142
36	48	7	0.4314355254173279	0.8908005144368227
37	48	8	0.4370533227920532	0.8949463894018947
38	48	9	0.4384229779243469	0.9097948305452375
39	48	10	0.4377880096435547	0.9059692481522819
40	49	1	0.2270127534866333	0.6931471805599453
41	49	2	0.2983028292655945	0.8109302162163288
42	49	3	0.34778034687042236	0.8630462173553426
43	49	4	0.34778034687042236	0.8925742052568391
44	49	5	0.36844509840011597	0.9116077839697729
45	49	6	0.3681637644767761	0.9042847917608142
46	49	7	0.37731117010116577	0.8908005144368227
47	49	8	0.3936261534690857	0.8949463894018947
48	49	9	0.39403825998306274	0.9097948305452375
49	49	10	0.39527076482772827	0.9059692481522819
50	65	1	0.4697907567024231	0.6931471805599453
51	65	2	0.4541146159172058	0.8109302162163288
52	65	3	0.45007479190826416	0.8630462173553426
53	65	4	0.4558449983596802	0.8925742052568391
54	65	5	0.45472753047943115	0.9116077839697729
55	65	6	0.4442196488380432	0.9042847917608142
56	65	7	0.44186556339263916	0.8908005144368227
57	65	8	0.4429435133934021	0.8949463894018947
58	65	9	0.43782246112823486	0.9097948305452375
59	65	10	0.43521082401275635	0.9059692481522819
60	68	1	0.3854612708091736	0.6931471805599453
61	68	2	0.4027408957481384	0.8109302162163288
62	68	3	0.4322478175163269	0.8630462173553426
63	68	4	0.4409003257751465	0.8925742052568391
64	68	5	0.44810575246810913	0.9116077839697729
65	68	6	0.4457312226295471	0.9042847917608142
66	68	7	0.4433099031448364	0.8908005144368227
67	68	8	0.4407649636268616	0.8949463894018947
68	68	9	0.44241511821746826	0.9097948305452375
69	68	10	0.444949209690094	0.9059692481522819
70	92	1	0.3562222123146057	0.6931471805599453
71	92	2	0.38595515489578247	0.8109302162163288
72	92	3	0.4100872874259949	0.8630462173553426
73	92	4	0.4177561402320862	0.8925742052568391
74	92	5	0.41981977224349976	0.9116077839697729
75	92	6	0.4141124486923218	0.9042847917608142
76	92	7	0.4209213852882385	0.8908005144368227
77	92	8	0.4219439625740051	0.8949463894018947
78	92	9	0.42535531520843506	0.9097948305452375
79	92	10	0.4262353181838989	0.9059692481522819
80	132	1	0.30695003271102905	0.6931471805599453
81	132	2	0.3812921643257141	0.8109302162163288
82	132	3	0.4003424048423767	0.8630462173553426
83	132	4	0.4003424048423767	0.8925742052568391
84	132	5	0.417138934135437	0.9116077839697729
85	132	6	0.4116966724395752	0.9042847917608142
86	132	7	0.41688072681427	0.8908005144368227
87	132	8	0.42562419176101685	0.8949463894018947
88	132	9	0.42165446281433105	0.9097948305452375
89	132	10	0.4240530729293823	0.9059692481522819
90	140	1	0.4879361391067505	0.6931471805599453
91	140	2	0.4716464877128601	0.8109302162163288
92	140	3	0.4728747606277466	0.8630462173553426
93	140	4	0.46502602100372314	0.8925742052568391
94	140	5	0.4505144953727722	0.8834369070030766
